Treatment,Generation,Session,SessionDate,ChainID,ParticipantID,Trial,TrialChain,Configuration,Speed,Payoff,wT,wR,wB,wL,mapT,mapR,mapB,mapL,comX,comY,Inertia,survey_birthyear,SessionGender
ABS,1,nzkwel8j,2025-02-14,ALEEK,fa0ofdyu,1,1,6-7-6-7,0,0,6,7,6,7,6,7,6,7,0,0,26,1997,Female
ABS,1,nzkwel8j,2025-02-14,ALEEK,fa0ofdyu,2,2,12-12-9-9,0,0,12,12,9,9,12,12,9,9,1.5,1.5,42,1997,Female
ABS,1,nzkwel8j,2025-02-14,ALEEK,fa0ofdyu,3,3,1-1-1-1,115.47304550758462,0.06,1,1,1,1,1,1,1,1,0,0,4,1997,Female
ABS,1,nzkwel8j,2025-02-14,ALEEK,fa0ofdyu,4,4,1-1-1-1,115.47304550758462,0.06,1,1,1,1,1,1,1,1,0,0,4,1997,Female
ABS,1,nzkwel8j,2025-02-14,ALEEK,fa0ofdyu,5,5,12-12-12-12,0,0,12,12,12,12,12,12,12,12,0,0,48,1997,Female
ABS,1,rxkbhh0l,2025-02-14,DZGMN,m31irel7,1,1,8-8-8-8,0,0,8,8,8,8,8,8,8,8,0,0,32,1996,Male
ABS,1,rxkbhh0l,2025-02-14,DZGMN,m31irel7,2,2,2-3-8-8,0,0,2,3,8,8,2,3,8,8,-2.5,-3,21,1996,Male
ABS,1,rxkbhh0l,2025-02-14,DZGMN,m31irel7,3,3,2-3-2-8,0,0,2,3,2,8,2,3,2,8,-2.5,0,15,1996,Male
ABS,1,rxkbhh0l,2025-02-14,DZGMN,m31irel7,4,4,2-3-2-2,111.5675310033822,0.08,2,3,2,2,2,3,2,2,0.5,0,9,1996,Male
ABS,1,rxkbhh0l,2025-02-14,DZGMN,m31irel7,5,5,2-3-3-3,99.96,0.14,2,3,3,3,2,3,3,3,0,-0.5,11,1996,Male
ABS,1,nzkwel8j,2025-02-14,EASCY,w8pdob8f,1,1,9-9-9-9,0,0,9,9,9,9,9,9,9,9,0,0,36,1995,Female
ABS,1,nzkwel8j,2025-02-14,EASCY,w8pdob8f,2,2,9-9-9-9,0,0,9,9,9,9,9,9,9,9,0,0,36,1995,Female
ABS,1,nzkwel8j,2025-02-14,EASCY,w8pdob8f,3,3,7-3-2-8,0,0,7,3,2,8,7,3,2,8,-2.5,2.5,20,1995,Female
